exp,congruent,noiseLevel,correct,RT
1,1,0.15,1,1.6018569469
1,0,0,1,2.1240282059
1,1,0.1,0,1.6677627563
1,1,0.15,1,1.2486658096
1,1,0.05,1,0.9393332005
1,1,0.1,1,5.0792217255
1,0,0.1,1,1.6865227222
1,0,0.05,1,2.419510603
1,1,0.15,1,1.1143097878
1,1,0.05,1,1.1007683277
1,0,0.05,1,2.9183001518
1,1,0.15,1,0.629932642
1,0,0.1,1,1.8279790878
1,0,0,1,1.3653819561
1,1,0,1,1.0989871025
1,0,0,1,2.3032810688
1,0,0,1,1.2438488007
1,0,0.1,1,2.6187748909
1,1,0.1,0,2.0611979961
1,0,0.05,1,1.8348193169
1,0,0.15,1,1.9960458279
1,0,0.1,1,1.4318389893
1,0,0.15,1,5.1091239452
1,1,0,1,1.2045788765
1,1,0.05,1,1.2555658817
1,1,0.15,0,1.2373490334
1,1,0.05,1,1.1485688686
1,0,0.05,1,1.5617966652
1,1,0,1,0.9938442707
1,1,0,0,1.1683232784
1,0,0.15,0,1.2414567471
1,0,0.05,1,0.974052906
1,0,0.05,0,4.0119328499
1,0,0.1,1,2.4889671803
1,1,0,1,1.3413631916
1,0,0.1,1,1.0180091858
1,1,0.15,1,1.4555175304
1,0,0.15,1,1.9117348194
1,1,0,1,0.8502521515
1,0,0.1,1,1.7174479961
2,1,0,1,5.5952401161
2,0,0,1,1.1189548969
2,0,0.05,1,1.6156022549
2,1,0.15,1,0.8844928741
2,0,0,1,0.7130126953
2,1,0.15,1,0.8124170303
2,1,0.05,1,0.8485639095
2,0,0.15,1,0.9505758286
2,1,0.05,1,1.0243699551
2,1,0,1,0.6552789211
2,0,0.15,0,0.8021919727
2,1,0.1,1,1.2923669815
2,1,0,1,0.6003403664
2,1,0.15,1,0.7503581047
2,1,0.1,1,0.7080488205
2,1,0.15,1,0.5315716267
2,0,0.15,1,0.8915889263
2,1,0.1,0,0.9491496086
2,0,0.15,1,1.1190328598
2,0,0.05,1,0.9689736366
2,0,0,1,0.7019979954
2,1,0,0,0.8250079155
2,1,0.15,0,0.8775100708
2,1,0.05,1,0.6078219414
2,0,0,1,0.7608327866
2,0,0.1,1,0.9837458134
2,0,0.1,1,1.3444418907
2,0,0.05,1,0.7081708908
2,0,0.1,1,1.4184422493
2,0,0.1,1,0.8721151352
2,0,0.1,1,1.5095510483
2,0,0.1,1,0.8805952072
2,0,0.05,1,0.7097349167
2,1,0.15,0,0.8539555073
2,1,0,1,0.6822249889
2,0,0.1,1,0.5116388798
2,1,0.05,1,0.751193285
2,1,0,1,0.8709344864
2,0,0.05,1,0.7988920212
2,0,0.05,1,0.7997570038
3,1,0.05,1,3.566652298
3,1,0,1,3.9499840736
3,1,0.05,1,10.89995718
3,1,0.05,1,4.1499841213
3,1,0,1,6.1333076954
3,1,0.1,0,6.316642046
3,1,0,1,6.1333086491
3,1,0,1,2.6999895573
3,1,0.1,1,6.8833062649
3,1,0.15,0,3.1333215237
3,1,0.15,1,3.8333177567
3,1,0.15,0,7.8166360855
3,1,0.15,1,3.0833210945
3,1,0.05,1,4.16664958
3,1,0.1,1,2.8666543961
3,1,0.15,0,3.1166553497
3,1,0,0,3.733317852
3,1,0.15,0,4.1999838352
3,1,0,1,2.6833231449
4,2,0,0.3333333333,11.2332892418
4,2,0,1,4.6666491032
4,2,0,0.5,3.366653204
4,2,0,0.3333333333,12.4999513626
4,2,0,0.6666666667,13.7499456406
4,2,0,0.25,20.9332520962
4,2,0,0.3333333333,3.1166551113
4,2,0,0.6666666667,15.9499378204
4,2,0,0.5,4.4666490555
4,2,0,1,12.5166194439
4,2,0,0.2857,3.7999863625
4,2,0,0.2857,10.1999611855
4,2,0,0.6666666667,15.7499396801
4,2,0,0.2857,4.3166503906
4,2,0,0.2857,4.2166507244
4,2,0,1,4.7166483402
4,2,0,1,4.0999834538
4,2,0,1,4.5999815464
4,2,0,0.3333333333,1.5999939442
4,2,0,0.25,24.3332409859
